"year","month","zoneid","zone.name","borough","tnc.month"
2015,1,"ID10","Baisley Park","Queens",1
2015,2,"ID10","Baisley Park","Queens",1
2015,3,"ID10","Baisley Park","Queens",1
2015,4,"ID10","Baisley Park","Queens",1
2015,5,"ID10","Baisley Park","Queens",2
2015,6,"ID10","Baisley Park","Queens",2
2015,7,"ID10","Baisley Park","Queens",2
2015,8,"ID10","Baisley Park","Queens",3
2015,9,"ID10","Baisley Park","Queens",3
2015,10,"ID10","Baisley Park","Queens",3
2015,11,"ID10","Baisley Park","Queens",3
2015,12,"ID10","Baisley Park","Queens",4
2016,1,"ID10","Baisley Park","Queens",4
2016,2,"ID10","Baisley Park","Queens",5
2016,3,"ID10","Baisley Park","Queens",7
2016,4,"ID10","Baisley Park","Queens",8
2016,5,"ID10","Baisley Park","Queens",9
2016,6,"ID10","Baisley Park","Queens",9
2016,7,"ID10","Baisley Park","Queens",10
2016,8,"ID10","Baisley Park","Queens",10
2016,9,"ID10","Baisley Park","Queens",10
2016,10,"ID10","Baisley Park","Queens",10
2016,11,"ID10","Baisley Park","Queens",12
2016,12,"ID10","Baisley Park","Queens",15
2017,1,"ID10","Baisley Park","Queens",15
2017,2,"ID10","Baisley Park","Queens",15
2017,3,"ID10","Baisley Park","Queens",21
2017,4,"ID10","Baisley Park","Queens",22
2017,5,"ID10","Baisley Park","Queens",23
2017,6,"ID10","Baisley Park","Queens",24
2015,1,"ID100","Garment District","Manhattan",21
2015,2,"ID100","Garment District","Manhattan",27
2015,3,"ID100","Garment District","Manhattan",28
2015,4,"ID100","Garment District","Manhattan",28
2015,5,"ID100","Garment District","Manhattan",29
2015,6,"ID100","Garment District","Manhattan",34
2015,7,"ID100","Garment District","Manhattan",40
2015,8,"ID100","Garment District","Manhattan",43
2015,9,"ID100","Garment District","Manhattan",50
2015,10,"ID100","Garment District","Manhattan",54
2015,11,"ID100","Garment District","Manhattan",52
2015,12,"ID100","Garment District","Manhattan",54
2016,1,"ID100","Garment District","Manhattan",52
2016,2,"ID100","Garment District","Manhattan",64
2016,3,"ID100","Garment District","Manhattan",65
2016,4,"ID100","Garment District","Manhattan",62
2016,5,"ID100","Garment District","Manhattan",67
2016,6,"ID100","Garment District","Manhattan",70
2016,7,"ID100","Garment District","Manhattan",75
2016,8,"ID100","Garment District","Manhattan",78
2016,9,"ID100","Garment District","Manhattan",82
2016,10,"ID100","Garment District","Manhattan",78
2016,11,"ID100","Garment District","Manhattan",77
2016,12,"ID100","Garment District","Manhattan",82
2017,1,"ID100","Garment District","Manhattan",87
2017,2,"ID100","Garment District","Manhattan",85
2017,3,"ID100","Garment District","Manhattan",97
2017,4,"ID100","Garment District","Manhattan",84
2017,5,"ID100","Garment District","Manhattan",87
2017,6,"ID100","Garment District","Manhattan",106
2015,1,"ID101","Glen Oaks","Queens",0
2015,2,"ID101","Glen Oaks","Queens",0
2015,3,"ID101","Glen Oaks","Queens",0
2015,4,"ID101","Glen Oaks","Queens",0
2015,5,"ID101","Glen Oaks","Queens",0
2015,6,"ID101","Glen Oaks","Queens",0
2015,7,"ID101","Glen Oaks","Queens",0
2015,8,"ID101","Glen Oaks","Queens",1
2015,9,"ID101","Glen Oaks","Queens",1
2015,10,"ID101","Glen Oaks","Queens",1
2015,11,"ID101","Glen Oaks","Queens",1
2015,12,"ID101","Glen Oaks","Queens",1
2016,1,"ID101","Glen Oaks","Queens",1
2016,2,"ID101","Glen Oaks","Queens",1
2016,3,"ID101","Glen Oaks","Queens",1
2016,4,"ID101","Glen Oaks","Queens",2
2016,5,"ID101","Glen Oaks","Queens",2
2016,6,"ID101","Glen Oaks","Queens",2
2016,7,"ID101","Glen Oaks","Queens",2
2016,8,"ID101","Glen Oaks","Queens",2
2016,9,"ID101","Glen Oaks","Queens",2
2016,10,"ID101","Glen Oaks","Queens",2
2016,11,"ID101","Glen Oaks","Queens",3
2016,12,"ID101","Glen Oaks","Queens",3
2017,1,"ID101","Glen Oaks","Queens",3
2017,2,"ID101","Glen Oaks","Queens",3
2017,3,"ID101","Glen Oaks","Queens",4
2017,4,"ID101","Glen Oaks","Queens",4
2017,5,"ID101","Glen Oaks","Queens",5
2017,6,"ID101","Glen Oaks","Queens",7
2015,1,"ID102","Glendale","Queens",1
2015,2,"ID102","Glendale","Queens",1
2015,3,"ID102","Glendale","Queens",1
2015,4,"ID102","Glendale","Queens",2
2015,5,"ID102","Glendale","Queens",2
2015,6,"ID102","Glendale","Queens",2
2015,7,"ID102","Glendale","Queens",3
2015,8,"ID102","Glendale","Queens",3
2015,9,"ID102","Glendale","Queens",3
2015,10,"ID102","Glendale","Queens",4
2015,11,"ID102","Glendale","Queens",5
2015,12,"ID102","Glendale","Queens",6
2016,1,"ID102","Glendale","Queens",6
2016,2,"ID102","Glendale","Queens",7
2016,3,"ID102","Glendale","Queens",8
2016,4,"ID102","Glendale","Queens",9
2016,5,"ID102","Glendale","Queens",10
2016,6,"ID102","Glendale","Queens",10
2016,7,"ID102","Glendale","Queens",10
2016,8,"ID102","Glendale","Queens",11
2016,9,"ID102","Glendale","Queens",10
2016,10,"ID102","Glendale","Queens",12
2016,11,"ID102","Glendale","Queens",12
2016,12,"ID102","Glendale","Queens",15
2017,1,"ID102","Glendale","Queens",14
2017,2,"ID102","Glendale","Queens",15
2017,3,"ID102","Glendale","Queens",20
2017,4,"ID102","Glendale","Queens",18
2017,5,"ID102","Glendale","Queens",19
2017,6,"ID102","Glendale","Queens",19
2015,1,"ID106","Gowanus","Brooklyn",5
2015,2,"ID106","Gowanus","Brooklyn",6
2015,3,"ID106","Gowanus","Brooklyn",6
2015,4,"ID106","Gowanus","Brooklyn",6
2015,5,"ID106","Gowanus","Brooklyn",7
2015,6,"ID106","Gowanus","Brooklyn",8
2015,7,"ID106","Gowanus","Brooklyn",8
2015,8,"ID106","Gowanus","Brooklyn",10
2015,9,"ID106","Gowanus","Brooklyn",11
2015,10,"ID106","Gowanus","Brooklyn",12
2015,11,"ID106","Gowanus","Brooklyn",13
2015,12,"ID106","Gowanus","Brooklyn",14
2016,1,"ID106","Gowanus","Brooklyn",15
2016,2,"ID106","Gowanus","Brooklyn",17
2016,3,"ID106","Gowanus","Brooklyn",17
2016,4,"ID106","Gowanus","Brooklyn",19
2016,5,"ID106","Gowanus","Brooklyn",20
2016,6,"ID106","Gowanus","Brooklyn",19
2016,7,"ID106","Gowanus","Brooklyn",20
2016,8,"ID106","Gowanus","Brooklyn",20
2016,9,"ID106","Gowanus","Brooklyn",22
2016,10,"ID106","Gowanus","Brooklyn",25
2016,11,"ID106","Gowanus","Brooklyn",24
2016,12,"ID106","Gowanus","Brooklyn",28
2017,1,"ID106","Gowanus","Brooklyn",27
2017,2,"ID106","Gowanus","Brooklyn",24
2017,3,"ID106","Gowanus","Brooklyn",29
2017,4,"ID106","Gowanus","Brooklyn",26
2017,5,"ID106","Gowanus","Brooklyn",27
2017,6,"ID106","Gowanus","Brooklyn",30
2015,1,"ID107","Gramercy","Manhattan",35
2015,2,"ID107","Gramercy","Manhattan",41
2015,3,"ID107","Gramercy","Manhattan",41
2015,4,"ID107","Gramercy","Manhattan",43
2015,5,"ID107","Gramercy","Manhattan",51
2015,6,"ID107","Gramercy","Manhattan",52
2015,7,"ID107","Gramercy","Manhattan",66
2015,8,"ID107","Gramercy","Manhattan",64
2015,9,"ID107","Gramercy","Manhattan",75
2015,10,"ID107","Gramercy","Manhattan",88
2015,11,"ID107","Gramercy","Manhattan",81
2015,12,"ID107","Gramercy","Manhattan",88
2016,1,"ID107","Gramercy","Manhattan",82
2016,2,"ID107","Gramercy","Manhattan",93
2016,3,"ID107","Gramercy","Manhattan",92
2016,4,"ID107","Gramercy","Manhattan",93
2016,5,"ID107","Gramercy","Manhattan",96
2016,6,"ID107","Gramercy","Manhattan",98
2016,7,"ID107","Gramercy","Manhattan",108
2016,8,"ID107","Gramercy","Manhattan",109
2016,9,"ID107","Gramercy","Manhattan",117
2016,10,"ID107","Gramercy","Manhattan",124
2016,11,"ID107","Gramercy","Manhattan",115
2016,12,"ID107","Gramercy","Manhattan",131
2017,1,"ID107","Gramercy","Manhattan",129
2017,2,"ID107","Gramercy","Manhattan",125
2017,3,"ID107","Gramercy","Manhattan",140
