"date","month","year","zoneid","tnc","subway","taxi","holidays","precip","median.age","median.earnings","scaled.population","scaled.employment","zone.name","borough"
2015-01-11,1,2015,"ID100",5115,1209861,55087,0,0.15,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-01-18,1,2015,"ID100",5690,1217097,58130,0,2.38,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-01-25,1,2015,"ID100",4893,1158184,53187,1,0.73,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-02-01,2,2015,"ID100",4445,1027610,43494,0,0.81,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-02-08,2,2015,"ID100",6236,1240529,51982,0,1.1,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-02-15,2,2015,"ID100",7508,1270491,57774,1,0.14,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-02-22,2,2015,"ID100",6692,1151736,56514,1,0.89,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-03-01,3,2015,"ID100",6686,1270187,56159,0,0.5,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-03-08,3,2015,"ID100",6124,1228828,49941,0,1.67,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-03-15,3,2015,"ID100",6112,1320707,54483,0,1.48,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-03-22,3,2015,"ID100",6257,1313086,57025,0,0.37,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-03-29,3,2015,"ID100",6552,1292833,55445,0,0.6,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-04-05,4,2015,"ID100",5894,1297433,53079,0,0.17,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-04-12,4,2015,"ID100",6325,1352192,54277,0,0.32,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-04-19,4,2015,"ID100",6048,1304320,51992,0,0.11,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-04-26,4,2015,"ID100",7051,1304528,52043,0,1.33,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-05-03,5,2015,"ID100",6386,1313898,51742,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-05-10,5,2015,"ID100",6816,1303707,51749,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-05-17,5,2015,"ID100",6834,1315687,48885,0,0.34,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-05-24,5,2015,"ID100",6626,1315994,50001,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-05-31,5,2015,"ID100",6657,1215907,47907,1,0.95,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-06-07,6,2015,"ID100",8325,1338170,50929,0,1.46,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-06-14,6,2015,"ID100",7586,1320772,50180,0,0.36,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-06-21,6,2015,"ID100",8121,1339828,51049,0,1.64,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-06-28,6,2015,"ID100",7983,1343481,50964,0,1.39,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-07-05,7,2015,"ID100",6090,1182841,47392,1,0.35,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-07-12,7,2015,"ID100",8434,1312098,53948,0,0.55,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-07-19,7,2015,"ID100",10133,1289720,52744,0,0.73,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-07-26,7,2015,"ID100",9569,1301376,54284,0,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-08-02,8,2015,"ID100",10207,1291848,52206,0,1.63,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-08-09,8,2015,"ID100",10003,1287977,52252,0,0.25,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-08-16,8,2015,"ID100",9641,1258863,51118,0,1.16,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-08-23,8,2015,"ID100",9884,1250490,52556,0,1.14,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-08-30,8,2015,"ID100",9868,1219352,51427,0,0.07,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-09-06,9,2015,"ID100",10580,1209687,51406,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-09-13,9,2015,"ID100",12997,1187907,48080,1,1.63,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-09-20,9,2015,"ID100",12382,1287137,50043,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-09-27,9,2015,"ID100",9620,1256602,46091,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-10-04,10,2015,"ID100",12471,1283547,44729,0,2.89,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-10-11,10,2015,"ID100",11585,1335126,48093,0,0.56,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-10-18,10,2015,"ID100",11812,1296463,50115,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-10-25,10,2015,"ID100",11879,1322211,48492,0,0.03,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-11-01,11,2015,"ID100",13609,1357601,46660,0,1.52,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-11-08,11,2015,"ID100",12788,1316466,48688,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-11-15,11,2015,"ID100",12948,1300794,47331,1,0.6,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-11-22,11,2015,"ID100",13464,1285559,46346,0,1.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-11-29,11,2015,"ID100",9080,1142105,45879,1,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
2015-12-06,12,2015,"ID100",13498,1347438,50058,0,0.45,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
