"date","month","year","zoneid","tnc","subway","taxi","holidays","precip","median.age","median.earnings","scaled.population","scaled.employment","zone.name","borough"
"2015-01-01",1,2015,"ID100",3,96,54,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-02",1,2015,"ID100",3,176,67,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-03",1,2015,"ID100",4,110,72,0,0.77,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-04",1,2015,"ID100",2,88,57,0,0.36,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-05",1,2015,"ID100",5,202,72,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-06",1,2015,"ID100",8,203,80,0,0.06,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-07",1,2015,"ID100",10,209,88,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-08",1,2015,"ID100",11,202,90,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-09",1,2015,"ID100",9,204,83,0,0.09,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-10",1,2015,"ID100",5,108,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-11",1,2015,"ID100",3,82,61,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-12",1,2015,"ID100",9,196,85,0,0.48,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-13",1,2015,"ID100",10,205,91,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-14",1,2015,"ID100",10,211,90,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-15",1,2015,"ID100",10,209,87,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-16",1,2015,"ID100",9,210,88,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-17",1,2015,"ID100",4,110,72,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-18",1,2015,"ID100",4,77,67,0,1.9,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-19",1,2015,"ID100",5,139,66,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-20",1,2015,"ID100",8,206,83,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-21",1,2015,"ID100",9,206,87,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-22",1,2015,"ID100",10,206,85,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-23",1,2015,"ID100",9,211,82,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-24",1,2015,"ID100",5,100,68,0,0.73,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-25",1,2015,"ID100",4,91,59,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-26",1,2015,"ID100",4,172,44,0,0.37,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-27",1,2015,"ID100",2,34,20,0,0.31,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-28",1,2015,"ID100",9,201,73,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-29",1,2015,"ID100",11,213,81,0,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-30",1,2015,"ID100",10,211,87,0,0.08,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-01-31",1,2015,"ID100",5,112,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-01",2,2015,"ID100",4,85,55,0,0.03,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-02",2,2015,"ID100",9,189,65,0,1.09,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-03",2,2015,"ID100",11,211,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-04",2,2015,"ID100",11,215,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-05",2,2015,"ID100",14,211,84,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-06",2,2015,"ID100",10,209,82,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-07",2,2015,"ID100",4,115,71,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-08",2,2015,"ID100",4,91,61,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-09",2,2015,"ID100",9,198,77,0,0.1,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-10",2,2015,"ID100",10,211,85,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-11",2,2015,"ID100",12,217,85,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-12",2,2015,"ID100",13,216,86,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-13",2,2015,"ID100",14,224,82,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-14",2,2015,"ID100",9,117,82,0,0.03,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-15",2,2015,"ID100",8,87,80,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-16",2,2015,"ID100",9,128,90,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-17",2,2015,"ID100",11,202,83,0,0.15,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-18",2,2015,"ID100",11,213,86,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-19",2,2015,"ID100",13,212,87,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-20",2,2015,"ID100",13,207,94,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-21",2,2015,"ID100",6,105,65,0,0.6,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-22",2,2015,"ID100",4,86,60,0,0.14,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-23",2,2015,"ID100",10,205,85,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-24",2,2015,"ID100",12,213,88,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-25",2,2015,"ID100",12,214,91,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-26",2,2015,"ID100",13,216,87,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-27",2,2015,"ID100",10,216,84,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-02-28",2,2015,"ID100",5,119,72,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-01",3,2015,"ID100",4,87,55,0,0.5,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-02",3,2015,"ID100",8,203,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-03",3,2015,"ID100",13,216,72,0,0.7,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-04",3,2015,"ID100",11,209,80,0,0.27,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-05",3,2015,"ID100",10,181,64,0,0.7,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-06",3,2015,"ID100",10,216,69,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-07",3,2015,"ID100",5,122,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-08",3,2015,"ID100",4,83,66,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-09",3,2015,"ID100",7,207,81,0,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-10",3,2015,"ID100",12,219,77,0,0.46,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-11",3,2015,"ID100",10,216,80,0,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-12",3,2015,"ID100",12,223,81,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-13",3,2015,"ID100",10,225,84,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-14",3,2015,"ID100",6,128,77,0,0.98,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-15",3,2015,"ID100",4,102,65,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-16",3,2015,"ID100",8,203,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-17",3,2015,"ID100",10,215,83,0,0.02,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-18",3,2015,"ID100",11,223,95,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-19",3,2015,"ID100",12,223,89,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-20",3,2015,"ID100",12,220,86,0,0.34,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-21",3,2015,"ID100",5,127,71,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-22",3,2015,"ID100",4,103,67,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-23",3,2015,"ID100",9,197,85,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-24",3,2015,"ID100",10,215,86,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-25",3,2015,"ID100",12,219,86,0,0.07,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-26",3,2015,"ID100",12,215,78,0,0.27,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-27",3,2015,"ID100",10,219,85,0,0.26,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-28",3,2015,"ID100",6,128,72,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-29",3,2015,"ID100",5,101,62,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-30",3,2015,"ID100",8,203,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-03-31",3,2015,"ID100",12,222,80,0,0.11,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-01",4,2015,"ID100",11,221,83,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-02",4,2015,"ID100",11,228,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-03",4,2015,"ID100",9,195,80,0,0.06,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-04",4,2015,"ID100",5,129,71,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-05",4,2015,"ID100",4,99,62,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-06",4,2015,"ID100",7,214,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-07",4,2015,"ID100",11,221,83,0,0.12,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-08",4,2015,"ID100",13,219,87,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-04-09",4,2015,"ID100",12,232,88,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
