Yr_mth,Cost,CPI
1980-01,27.7,45.2
1980-02,28.66,45.2
1980-03,28.6,45.2
1980-04,28.34,46.6
1980-05,28.65,46.6
1980-06,28.56,46.6
1980-07,29.17,47.5
1980-08,29.85,47.5
1980-09,29.58,47.5
1980-10,30.34,48.5
1980-11,31.23,48.5
1980-12,30.72,48.5
1981-01,30.28,49.6
1981-02,31.73,49.6
1981-03,31.57,49.6
1981-04,31.3,50.7
1981-05,31.89,50.7
1981-06,31.52,50.7
1981-07,32.33,51.8
1981-08,33.4,51.8
1981-09,33.26,51.8
1981-10,33.67,54.1
1981-11,33.73,54.1
1981-12,32.87,54.1
1982-01,33.33,54.8
1982-02,34.76,54.8
1982-03,34.37,54.8
1982-04,33.87,56.1
1982-05,34.21,56.1
1982-06,33.97,56.1
1982-07,36.87,58.1
1982-08,36.99,58.1
1982-09,37.11,58.1
1982-10,37.01,59.6
1982-11,38.13,59.6
1982-12,37.26,59.6
1983-01,36.67,60.9
1983-02,39.54,60.9
1983-03,38.9,60.9
1983-04,38.01,62.6
1983-05,38.14,62.6
1983-06,37.92,62.6
1983-07,39.46,63.6
1983-08,40.22,63.6
1983-09,40.33,63.6
1983-10,40.23,65.5
1983-11,40.82,65.5
1983-12,39.72,65.5
1984-01,39.46,65.1
1984-02,42.99,65.1
1984-03,41.55,65.1
1984-04,40.09,65.3
1984-05,40.77,65.3
1984-06,40.46,65.3
1984-07,42.82,66.3
1984-08,43.34,66.3
1984-09,44.69,66.3
1984-10,43.46,67.1
1984-11,44.42,67.1
1984-12,43.13,67.1
1985-01,43.22,67.9
1985-02,46.35,67.9
1985-03,46.4,67.9
1985-04,45.07,69.9
1985-05,45.14,69.9
1985-06,45.09,69.9
1985-07,47.52,71.4
1985-08,48.8,71.4
1985-09,48.49,71.4
1985-10,47.73,72.6
1985-11,49.52,72.6
1985-12,47.04,72.6
1986-01,46.29,74.6
1986-02,50.58,74.6
1986-03,49.7,74.6
1986-04,50.12,75.7
1986-05,50.44,75.7
1986-06,49.48,75.7
1986-07,53.99,77.7
1986-08,55.33,77.7
1986-09,55.37,77.7
1986-10,53.02,80
1986-11,57.29,80
1986-12,53.84,80
1987-01,53.4,81.5
1987-02,59.5,81.5
1987-03,57.47,81.5
1987-04,56.61,82.8
1987-05,58.18,82.8
1987-06,57.23,82.8
1987-07,59.83,84.3
1987-08,60.87,84.3
1987-09,60.92,84.3
1987-10,62.99,85.7
1987-11,66.79,85.7
1987-12,63.11,85.7
1988-01,62.1,87
1988-02,69.84,87
1988-03,67.68,87
1988-04,66.16,88.6
1988-05,69.13,88.6
1988-06,67.93,88.6
1988-07,69.11,89.9
1988-08,72.03,89.9
1988-09,70.02,89.9
1988-10,68.59,91.5
1988-11,73.65,91.5
1988-12,70.46,91.5
1989-01,68.84,92.7
1989-02,75.2,92.7
1989-03,71.57,92.7
1989-04,74.01,95.2
1989-05,75.25,95.2
1989-06,74.11,95.2
1989-07,77.02,97.3
1989-08,78.57,97.3
1989-09,77.04,97.3
1989-10,78.36,99.2
1989-11,82.93,99.2
1989-12,76.14,99.2
1990-01,74.87,100.7
1990-02,83.21,100.7
1990-03,81.31,100.7
1990-04,77.49,102.7
1990-05,81.57,102.7
1990-06,80.64,102.7
1990-07,81.78,103.5
1990-08,85.31,103.5
1990-09,81.24,103.5
1990-10,84.23,106.6
1990-11,88.4,106.6
1990-12,81.5,106.6
1991-01,79.94,106.1
1991-02,82.88,106.1
1991-03,80.96,106.1
1991-04,81.89,106.8
1991-05,81.87,106.8
1991-06,81.71,106.8
1991-07,83.85,107.6
1991-08,86.48,107.6
1991-09,84.78,107.6
1991-10,82.91,108.4
1991-11,87.19,108.4
1991-12,81.03,108.4
1992-01,80.98,108.3
1992-02,84.77,108.3
1992-03,83.89,108.3
1992-04,80.53,108.2
1992-05,81.91,108.2
1992-06,81.39,108.2
1992-07,83.18,107.9
1992-08,86.24,107.9
1992-09,84.93,107.9
1992-10,82.31,108.2
1992-11,86.16,108.2
1992-12,80.39,108.2
1993-01,80.94,109.5
1993-02,84.3,109.5
1993-03,82.91,109.5
1993-04,79.38,110.1
1993-05,86.45,110.1
1993-06,81.18,110.1
1993-07,82.39,110.5
1993-08,84.23,110.5
1993-09,84.2,110.5
1993-10,82.47,110.8
1993-11,86.5,110.8
1993-12,80.85,110.8
1994-01,81.15,111.2
1994-02,83.28,111.2
1994-03,87.4,111.2
1994-04,79.9,112
1994-05,80.93,112
1994-06,81.76,112
1994-07,84.86,112.2
1994-08,87.29,112.2
1994-09,87.01,112.2
1994-10,87.49,113.1
1994-11,87.76,113.1
1994-12,85.45,113.1
1995-01,84.92,115
1995-02,88.77,115
1995-03,88.71,115
1995-04,86.4,116.2
1995-05,88.17,116.2
1995-06,89.41,116.2
