crestms,colgms,crestpr,colgpr
0.108,0.424,2.07,2.05
0.166,0.482,2.17,2.1
0.126,0.428,2.17,2.04
0.115,0.397,2.07,1.96
0.119,0.352,2.12,2.06
0.176,0.342,2.05,2.01
0.155,0.434,2.1,2.03
0.118,0.445,2.07,2.09
0.136,0.428,2.1,2.01
0.137,0.395,2.14,2.04
0.124,0.354,2.12,2.03
0.131,0.497,2.05,2.07
0.12,0.425,2.07,2.03
0.133,0.401,2.12,2.04
0.067,0.363,2.16,2.1
0.086,0.341,2.17,2.06
0.14,0.464,2.14,2.06
0.122,0.431,2.01,2.01
0.105,0.405,2.02,1.99
0.079,0.46,2.1,2.01
0.13,0.41,2.12,2.06
0.142,0.423,2.13,1.94
0.12,0.31,2.16,2.11
0.115,0.413,2.09,2.05
0.103,0.411,2.15,2.05
0.078,0.452,2.11,2.05
0.093,0.405,2.11,2.04
0.086,0.29,2.05,2.02
0.099,0.342,2.11,2.03
0.078,0.311,2.17,2.03
0.095,0.327,2.11,2.03
0.094,0.413,2.07,2.04
0.056,0.4,2.16,1.99
0.05,0.38,2.01,1.94
0.065,0.371,2.21,2.05
0.091,0.344,2.08,2.09
0.094,0.345,2.08,2.03
0.124,0.363,2.12,2.07
0.153,0.392,2.03,2.09
0.078,0.379,2.14,2.07
0.114,0.349,2.04,2.07
0.088,0.337,2.17,2.1
0.165,0.235,2.09,2.04
0.16,0.25,2.11,2
0.075,0.36,2,2.03
0.118,0.282,1.95,2.06
0.1,0.257,2.14,2.12
0.102,0.345,2.09,1.99
0.131,0.344,2.09,2.06
0.148,0.358,2.03,2.11
0.137,0.322,2.07,2.02
0.09,0.332,2.17,1.99
0.088,0.315,2.01,2.05
0.172,0.316,1.94,2.01
0.111,0.341,2.08,2.06
0.097,0.387,2.17,2.13
0.098,0.402,2.07,2.05
0.09,0.347,2.18,2.12
0.127,0.414,1.96,2
0.116,0.426,2.14,2.03
0.137,0.322,2.11,2.03
0.111,0.372,2.11,2.05
0.107,0.381,2.1,2
0.097,0.339,2.14,2.05
0.134,0.405,2.1,2.04
0.16,0.304,2.06,2.03
0.147,0.439,2.13,1.99
0.104,0.336,1.99,2.08
0.128,0.405,2.07,2
0.128,0.359,1.96,2.02
0.165,0.379,2.02,1.98
0.184,0.303,1.92,2.03
0.172,0.34,1.86,1.93
0.207,0.312,1.9,2.02
0.221,0.291,1.89,1.96
0.159,0.259,2.01,2.01
0.198,0.342,1.93,2.03
0.197,0.458,1.88,1.99
0.251,0.275,1.92,2.07
0.146,0.34,1.94,2.03
0.133,0.385,2.01,1.98
0.243,0.338,1.94,1.99
0.192,0.37,1.94,1.99
0.15,0.29,1.92,2.02
0.221,0.325,1.89,2.1
0.183,0.337,2.02,2.04
0.136,0.338,2.01,1.94
0.206,0.323,1.97,2.06
0.127,0.357,1.97,1.95
0.139,0.381,1.89,2.06
0.189,0.371,2.03,1.97
0.194,0.294,2.03,2.06
0.114,0.384,1.98,2.02
0.229,0.286,1.97,2.03
0.148,0.335,2.02,2.05
0.155,0.31,2.03,2
0.106,0.304,2.06,2
0.156,0.305,2.1,1.99
0.053,0.403,2.07,1.98
0.112,0.365,1.86,1.99
0.084,0.305,1.99,1.93
0.191,0.172,2.01,1.99
0.149,0.321,2.07,1.97
0.143,0.343,2.11,2.07
0.094,0.354,2.08,1.97
0.184,0.316,2.08,1.99
0.205,0.292,2.08,1.86
0.206,0.305,2.07,2.03
0.191,0.294,2.13,2
0.195,0.289,2.1,1.95
0.179,0.301,2.08,1.94
0.272,0.304,2.09,2.02
0.203,0.306,2.09,1.94
0.165,0.405,2.05,2.01
0.138,0.344,2.02,1.87
0.216,0.353,2.1,1.97
0.132,0.383,1.99,1.9
0.12,0.349,2.11,2.03
0.083,0.374,2.18,2
0.118,0.411,2.07,1.94
0.125,0.287,2.09,2.05
0.109,0.42,2.03,1.97
0.119,0.47,2.01,2.02
0.154,0.354,2.08,1.98
0.122,0.392,2.09,2.09
0.126,0.421,1.98,1.98
0.126,0.435,2.02,2.05
0.13,0.424,2.08,2.03
0.158,0.344,2.08,1.97
0.141,0.369,2.03,1.99
0.145,0.364,2.02,1.95
0.127,0.386,2.09,2.06
0.171,0.406,2.04,1.98
0.152,0.439,1.96,2.03
0.211,0.345,1.96,2.06
0.309,0.291,2.05,2.05
0.242,0.292,1.98,1.96
0.38,0.249,1.94,2.06
0.362,0.283,1.97,1.94
0.328,0.301,2,2.03
0.359,0.28,2.02,1.96
