panelist,W614,W615,W616,W617,W618,W619,W620,W621,W622,W623,W624,W625,W626,W627,W628,W629,W630,W631,W632,W633,W634,W635,W636,W637,W638,W639,W640,W641,W642,W643,W644,W645,W646,W647,W648,W649,W650,W651,W652,W653,W654,W655,W656,W657,W658,W659,W660,W661,W662,W663,W664,W665,W666,W667,W668,W669,W670,W671,W672,W673,W674,W675,W676,W677,W678,W679,W680,W681,W682,W683,W684,W685,W686,W687,W688,W689,W690,W691,W692,W693,W694,W695,W696,W697,W698,W699,W700,W701,W702,W703,W704,W705,W706,W707,W708,W709,W710,W711,W712,W713,W714,W715,W716,W717
14100164,3,2,4,1,1,2,2,2,3,3,2,5,2,2,2,3,2,1,1,3,0,3,3,2,1,2,2,2,2,1,0,2,3,3,2,4,2,3,3,3,3,3,3,4,0,2,3,3,2,3,1,2,3,0,2,2,1,4,3,2,4,2,3,3,2,2,2,0,3,2,1,2,2,2,3,3,3,2,1,2,1,1,1,1,1,3,3,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1
14100842,2,1,1,1,2,2,1,4,2,2,1,1,3,2,0,2,3,2,1,1,2,1,2,2,1,2,0,1,0,0,0,1,1,3,1,2,0,0,3,2,2,2,2,2,1,1,1,3,1,1,2,3,1,1,2,4,3,2,2,2,2,2,2,3,2,2,2,3,3,2,1,2,1,3,2,3,1,0,2,1,0,0,0,0,0,2,0,2,1,1,2,1,1,1,2,1,1,1,2,0,2,1,2,2
14100859,5,5,5,5,4,5,6,4,7,5,8,3,8,7,7,6,8,7,6,4,11,7,7,7,7,7,9,7,9,6,6,4,8,10,8,11,5,9,8,8,12,11,8,11,6,7,7,8,7,9,8,7,12,8,8,9,9,11,7,6,7,8,8,8,9,5,6,6,8,8,10,7,7,7,7,7,8,7,6,5,1,2,2,4,3,6,6,7,9,5,8,7,6,6,4,8,6,5,6,5,8,6,8,8
14101667,1,6,1,7,4,6,6,3,3,4,3,8,6,8,3,3,2,4,6,5,1,0,0,2,6,5,3,5,3,2,5,3,3,2,1,4,5,3,3,5,1,0,2,2,3,4,2,5,2,1,2,2,3,2,2,2,3,5,4,4,2,3,4,4,4,3,1,2,5,3,3,1,2,6,3,3,4,3,5,2,1,3,0,0,0,0,0,0,0,0,0,2,7,0,3,2,4,3,7,0,2,4,4,3
14101758,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,2,1,0,1,1,0,2,0,1,1,0,1,1,0,1,1,1,1,1,0,2,0,0,2,1,1,1,1,1,1,1,1,1,2,0,1,2,0,2,1,1,0,1,1,1,1,0,1,1,1,0,2,1,1,1,0,0,2,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
14101998,1,0,0,0,0,1,2,0,2,1,1,1,2,0,1,1,2,0,0,2,1,1,0,1,0,0,2,0,0,0,0,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,0,1,2,1,2,2,1,0,1,3,2,1,1,0,0,2,0,0,1,0,2,2,1,1,2,1,0,1,1,1,1,2,1,1,0,3,2,0,1,1,1,1,1,3,0,3,3,1,1,2,2,2,1,0
14102046,2,2,3,1,2,2,3,0,3,3,3,1,3,4,3,2,4,3,3,3,2,2,2,2,1,3,2,3,2,4,3,1,4,2,2,3,1,2,1,2,2,1,2,2,1,3,2,0,2,2,2,3,0,4,4,3,1,2,2,4,4,3,4,5,5,2,2,4,4,4,4,4,3,4,5,3,4,2,5,4,4,4,4,3,3,3,3,5,4,3,3,4,3,4,4,3,3,4,3,2,1,6,1,3
14102087,1,1,3,3,2,4,1,3,1,1,1,1,1,1,1,1,2,1,3,0,5,2,2,2,2,2,1,2,1,3,2,1,0,2,2,1,0,4,3,4,2,2,4,2,3,1,2,2,1,1,2,3,1,3,1,2,3,5,1,4,1,1,1,2,0,1,1,1,2,2,0,1,1,1,4,1,3,2,1,0,0,0,0,0,0,2,1,2,1,1,2,1,0,3,1,4,1,2,0,2,2,1,1,1
14102160,6,3,4,3,4,1,2,4,4,2,4,2,3,4,3,4,4,5,5,3,3,3,5,4,3,1,4,4,8,3,3,2,4,4,1,3,6,4,2,5,2,1,4,3,6,6,1,5,1,6,4,4,2,12,6,2,0,5,1,3,4,3,3,8,1,1,4,4,4,5,3,5,1,4,3,1,3,0,3,1,3,6,4,5,4,2,2,8,5,3,2,3,4,5,4,4,5,3,0,2,8,3,4,7
14102335,1,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,2,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
14102996,4,3,4,5,4,1,3,3,2,1,0,0,2,1,1,3,0,0,0,0,0,3,3,2,1,2,1,0,1,1,4,4,2,4,1,1,2,2,1,5,1,2,2,0,3,1,1,0,1,3,2,0,2,1,0,7,4,2,2,5,3,2,0,0,2,2,2,0,0,2,1,0,0,0,2,1,0,1,1,0,0,1,5,0,0,2,1,0,2,1,3,1,2,3,3,3,3,2,0,4,3,1,0,0
