Date,Temperature F,Humidity,Wind Speed,Total Users
1/1/2011,52.1,77,19,84
1/2/2011,47,66,20,93
1/3/2011,34.9,35,20,61
1/4/2011,34.9,51,11,78
1/5/2011,38.3,33,22,79
1/6/2011,38.3,35,0,84
1/7/2011,33.1,37,17,59
1/8/2011,33.1,59,24,98
1/9/2011,31.4,37,30,83
1/10/2011,33.1,40,19,52
1/11/2011,33.1,51,7,57
1/12/2011,33.1,47,39,55
1/13/2011,33.1,44,28,52
1/14/2011,33.1,44,17,61
1/15/2011,36.6,48,15,89
1/16/2011,36.6,41,19,104
1/17/2011,31.4,47,9,80
1/18/2011,33.1,86,22,3
1/19/2011,41.8,81,6,70
1/20/2011,41.8,42,0,84
1/21/2011,34.9,27,39,78
1/22/2011,21.1,38,7,70
1/23/2011,29.7,37,31,116
1/24/2011,26.2,42,13,63
1/25/2011,38.3,56,6,106
1/26/2011,34.9,93,22,48
1/28/2011,31.4,93,7,29
1/29/2011,33.1,59,13,78
1/30/2011,41.8,52,7,97
1/31/2011,31.4,55,7,68
2/1/2011,33.1,86,0,55
2/2/2011,36.6,93,15,64
2/3/2011,33.1,40,24,69
2/4/2011,36.6,48,11,86
2/5/2011,34.9,100,11,52
2/6/2011,45.2,46,0,174
2/7/2011,43.5,62,0,66
2/8/2011,36.6,38,33,65
2/9/2011,31.4,40,15,61
2/10/2011,29.7,34,26,69
2/11/2011,34.9,47,9,71
2/12/2011,41.8,39,31,120
2/13/2011,47,32,31,152
2/14/2011,64.2,22,30,126
2/15/2011,40,24,17,71
2/16/2011,48.7,32,22,86
2/17/2011,57.3,41,15,101
2/18/2011,59,59,13,185
2/19/2011,53.9,18,33,119
2/20/2011,41.8,33,7,182
2/21/2011,43.5,66,13,93
2/22/2011,33.1,59,7,55
2/23/2011,38.3,35,6,67
2/24/2011,47,53,24,95
2/25/2011,62.5,60,31,115
2/26/2011,43.5,45,11,160
2/27/2011,50.4,54,6,193
2/28/2011,64.2,64,20,36
3/1/2011,41.8,39,9,86
3/2/2011,50.4,43,13,82
3/3/2011,34.9,25,9,72
3/4/2011,43.5,43,11,97
3/5/2011,53.9,67,17,167
3/6/2011,55.6,94,22,79
3/7/2011,41.8,42,28,96
3/8/2011,47,23,0,99
3/9/2011,43.5,76,17,98
3/10/2011,52.1,0,15,34
3/11/2011,45.2,53,17,111
3/12/2011,45.2,53,19,158
3/13/2011,55.6,38,26,194
3/14/2011,48.7,37,0,94
3/15/2011,47,50,15,102
3/16/2011,50.4,71,7,88
3/17/2011,59,45,15,105
3/18/2011,64.2,49,24,195
3/19/2011,55.6,33,28,267
3/20/2011,47,40,7,228
3/21/2011,53.9,77,17,81
3/22/2011,55.6,47,17,121
3/23/2011,45.2,87,15,87
3/24/2011,41.8,70,22,94
3/25/2011,43.5,42,17,145
3/26/2011,41.8,36,13,227
3/27/2011,38.3,44,15,163
3/28/2011,38.3,25,0,79
3/29/2011,45.2,25,11,106
3/30/2011,45.2,46,11,80
3/31/2011,40,93,13,90
4/1/2011,45.2,53,24,95
4/2/2011,43.5,81,9,184
4/3/2011,53.9,38,19,313
4/4/2011,71.1,36,31,157
4/5/2011,45.2,71,26,38
4/6/2011,53.9,41,17,134
4/7/2011,55.6,55,0,153
4/8/2011,48.7,66,15,80
4/9/2011,47,81,9,202
4/10/2011,52.1,88,9,230
4/11/2011,67.7,73,22,134
4/12/2011,64.2,64,31,92
4/13/2011,52.1,82,17,95
4/14/2011,62.5,42,9,145
4/15/2011,60.8,55,19,200
4/16/2011,55.6,88,39,32
4/17/2011,55.6,38,26,354
4/18/2011,64.2,49,6,184
4/19/2011,62.5,64,6,103
4/20/2011,76.3,48,26,145
4/21/2011,55.6,38,11,199
4/22/2011,45.2,76,9,80
4/23/2011,60.8,83,28,291
4/24/2011,74.6,65,17,388
4/25/2011,72.8,74,17,188
4/26/2011,76.3,61,28,186
4/27/2011,72.8,78,22,173
4/28/2011,69.4,78,17,107
4/29/2011,64.2,37,19,223
4/30/2011,60.8,42,26,416
5/1/2011,57.3,77,7,281
5/2/2011,69.4,69,15,187
5/3/2011,74.6,61,33,217
5/4/2011,53.9,62,24,124
5/5/2011,60.8,34,24,196
5/6/2011,64.2,49,24,246
5/7/2011,67.7,40,13,373
5/8/2011,67.7,46,6,382
5/9/2011,67.7,43,13,195
5/10/2011,67.7,38,0,217
5/11/2011,67.7,56,0,226
5/12/2011,65.9,60,15,207
5/13/2011,60.8,88,13,223
5/14/2011,60.8,100,6,279
5/15/2011,69.4,73,20,367
5/16/2011,72.8,54,6,209
5/17/2011,64.2,83,28,153
5/18/2011,64.2,94,20,54
5/19/2011,65.9,78,7,168
5/20/2011,67.7,56,17,255
5/21/2011,72.8,50,0,493
5/22/2011,78,51,13,401
5/23/2011,74.6,69,26,204
5/24/2011,81.5,45,26,170
5/25/2011,79.8,55,9,210
5/26/2011,83.2,59,22,194
5/27/2011,81.5,55,20,243
5/28/2011,78,58,17,358
5/29/2011,76.3,74,15,402
5/30/2011,90.1,47,7,366
5/31/2011,90.1,47,9,162
6/1/2011,90.1,53,0,169
6/2/2011,81.5,25,31,232
6/3/2011,72.8,27,19,259
6/4/2011,76.3,32,11,420
6/5/2011,71.1,69,7,335
6/6/2011,81.5,37,11,153
6/7/2011,84.9,46,19,183
6/8/2011,91.8,42,9,149
6/9/2011,95.3,35,13,140
6/10/2011,88.4,44,9,207
6/11/2011,84.9,55,15,347
6/12/2011,86.7,46,0,420
6/13/2011,72.8,41,19,196
6/14/2011,71.1,41,24,169
6/15/2011,76.3,34,15,211
6/16/2011,78,54,26,206
6/17/2011,76.3,65,17,243
6/18/2011,79.8,66,6,420
6/19/2011,79.8,55,6,396
6/20/2011,69.4,69,7,162
6/21/2011,76.3,74,11,189
6/22/2011,84.9,59,15,188
6/23/2011,81.5,66,19,160
6/24/2011,84.9,41,19,201
6/25/2011,79.8,40,19,392
6/26/2011,79.8,40,11,443
6/27/2011,78,54,0,170
6/28/2011,88.4,47,15,202
6/29/2011,81.5,35,17,243
6/30/2011,81.5,35,11,233
7/1/2011,84.9,26,0,263
7/2/2011,86.7,30,9,374
7/3/2011,84.9,55,7,404
7/4/2011,83.2,52,0,447
7/5/2011,84.9,43,7,201
7/6/2011,79.8,66,6,152
7/7/2011,88.4,41,0,171
7/8/2011,81.5,70,19,213
7/9/2011,84.9,46,17,366
7/10/2011,86.7,46,19,377
7/11/2011,88.4,53,19,148
7/12/2011,90.1,44,20,163
7/13/2011,88.4,41,19,174
7/14/2011,79.8,35,17,223
7/15/2011,76.3,48,13,238
7/16/2011,81.5,43,19,463
7/17/2011,81.5,55,19,420
7/18/2011,84.9,59,13,165
7/19/2011,88.4,56,6,153
7/20/2011,86.7,59,0,149
7/21/2011,91.8,56,22,135
7/22/2011,97,48,11,115
7/23/2011,95.3,37,7,235
7/24/2011,93.6,45,11,246
7/25/2011,88.4,59,13,67
7/26/2011,88.4,28,0,147
7/27/2011,86.7,30,19,169
7/28/2011,88.4,53,17,186
7/29/2011,98.7,31,19,135
7/30/2011,88.4,32,11,341
7/31/2011,93.6,25,13,338
8/1/2011,93.6,33,17,168
8/2/2011,90.1,30,19,157
8/3/2011,81.5,55,9,161
8/4/2011,81.5,62,15,205
8/5/2011,81.5,52,17,216
8/6/2011,84.9,55,15,382
8/7/2011,93.6,42,20,370
8/8/2011,86.7,46,17,182
8/9/2011,86.7,56,13,185
8/10/2011,86.7,38,20,240
8/11/2011,83.2,31,17,214
8/12/2011,84.9,27,0,222
8/13/2011,72.8,89,11,421
8/14/2011,76.3,79,15,281
8/15/2011,79.8,58,19,178
8/16/2011,81.5,48,22,162
8/17/2011,84.9,43,19,189
8/18/2011,84.9,52,19,173
8/19/2011,79.8,62,6,222
8/20/2011,79.8,58,9,409
8/21/2011,86.7,59,19,374
8/22/2011,79.8,35,26,207
8/23/2011,76.3,39,6,237
8/24/2011,79.8,55,22,235
8/25/2011,76.3,79,0,41
8/26/2011,81.5,66,7,243
8/27/2011,72.8,83,33,76
8/28/2011,79.8,51,26,306
8/29/2011,74.6,44,11,207
8/30/2011,78,37,0,237
8/31/2011,79.8,43,9,260
9/1/2011,78,51,9,229
9/2/2011,72.8,69,15,260
9/3/2011,76.3,61,15,257
9/4/2011,81.5,66,11,435
9/5/2011,78,70,13,353
9/6/2011,62.5,83,26,67
9/7/2011,64.2,94,0,22
9/8/2011,72.8,94,15,102
9/9/2011,71.1,94,0,75
9/10/2011,78,62,15,404
9/11/2011,76.3,65,0,411
9/12/2011,78,51,13,184
9/13/2011,78,58,15,187
9/14/2011,79.8,58,15,212
9/15/2011,72.8,69,20,179
9/16/2011,60.8,45,0,251
9/17/2011,60.8,67,15,372
9/18/2011,62.5,64,9,364
9/19/2011,65.9,60,6,189
9/20/2011,64.2,94,11,60
9/21/2011,71.1,78,6,193
9/22/2011,72.8,83,11,176
9/23/2011,69.4,94,7,29
9/24/2011,69.4,83,6,407
9/25/2011,72.8,78,0,413
9/26/2011,74.6,79,11,209
9/27/2011,72.8,89,9,162
9/28/2011,74.6,79,0,184
9/29/2011,72.8,61,11,195
9/30/2011,71.1,57,13,254
10/1/2011,50.4,82,17,158
10/2/2011,50.4,62,13,321
10/3/2011,50.4,71,9,147
10/4/2011,64.2,56,20,199
10/5/2011,69.4,43,22,214
10/6/2011,64.2,49,6,226
10/7/2011,67.7,53,0,235
10/8/2011,69.4,35,0,446
10/9/2011,71.1,44,6,455
10/10/2011,76.3,48,6,365
10/11/2011,67.7,73,11,181
10/12/2011,62.5,88,22,62
10/13/2011,69.4,88,0,105
10/14/2011,60.8,88,11,75
10/15/2011,65.9,35,37,456
10/16/2011,65.9,35,17,444
10/17/2011,64.2,40,6,205
10/18/2011,69.4,43,6,201
10/19/2011,60.8,94,22,130
10/20/2011,57.3,48,35,199
10/21/2011,59,45,20,240
10/22/2011,55.6,55,6,343
10/23/2011,59,59,17,413
10/24/2011,60.8,68,7,220
